Designator,Mid X,Mid Y,Layer,Rotation
0X76,31.5,33.4,Top,90
12V_IN,25.15,61.67,Top,270
B2,8.26,11.39,Top,90
C1,66.04,14.35,Top,90
C10,92.46,13.46,Top,90
C11,58.8,55.88,Top,180
C12,74.04,59.69,Top,270
C13,96.27,60.71,Top,180
C14,41.02,33.27,Top,270
C15,58.8,64.9,Top,180
C16,88.52,67.06,Top,180
C17,3.94,45.72,Top,180
C18,24.38,42.93,Top,180
C2,63.12,14.35,Top,90
C20,92.46,50.67,Top,270
C3,22.99,28.19,Top,180
C5,36.58,50.16,Top,0
C6,29.21,52.58,Top,180
C7,89.41,63.88,Top,270
C8,92.46,40.01,Top,90
C9,92.46,26.67,Top,90
CBOOT,70.74,43.18,Top,270
CIN,62.48,46.36,Top,180
CIN1,58.04,48.13,Top,270
CIN2,42.93,55.88,Top,270
COUT,63.12,39.62,Top,90
D2,41.27,52.45,Top,0
D3,62.74,43.43,Top,180
D4,46.74,55.25,Top,270
D5,38.1,66.93,Top,180
DRV8871,69.22,57.36,Top,90
DRV8871-2,94.82,65.28,Top,0
J2,9.25,35.54,Top,270
L1,66.93,40.01,Top,270
L3,61.98,49.4,Top,0
LED1,4.19,63.25,Top,90
LED2,67.82,30.61,Top,180
NMOS,38.11,61.21,Top,0
NOTGATE1,86.49,59.78,Top,90
NOTGATE2,84.29,64.26,Top,0
PMOS1,61.85,34.67,Top,180
PMOS2,48.77,39.5,Top,270
PMOS3,48.26,62.23,Top,270
PRESSURE_SENSOR,36.2,33.27,Top,90
P_MOS,14.35,66.73,Top,0
Q1,61.85,31.24,Top,0
Q2,45.09,67.31,Top,270
Q3,45.72,39.37,Top,0
R1,32.77,51.18,Top,90
R10,42.04,30.1,Top,0
R11,67.69,34.93,Top,90
R12,83.69,59.82,Top,270
R13,84.33,67.06,Top,180
R14,74.04,54.99,Top,270
R15,92.33,59.69,Top,90
R16,29.59,42.04,Top,90
R17,37.34,41.34,Top,270
R18,48.77,42.55,Top,180
R19,72.77,6.6,Top,90
R2,29.21,50.16,Top,0
R20,70.23,5.59,Top,90
R21,65.91,49.66,Top,90
R22,64.77,2.67,Top,180
R23,23.24,50.55,Top,180
R3,14.35,20.19,Top,270
R4,6.6,66.55,Top,90
R5,11.81,20.19,Top,270
R6,41.27,42.55,Top,0
R7,65.02,34.29,Top,90
R8,45.09,62.23,Top,270
R9,32.13,42.04,Top,90
RGND,40.89,50.16,Top,180
RTC,23.11,35.56,Top,270
TPIC0,83.57,46.79,Top,270
TPIC1,83.57,33.45,Top,270
TPIC2,83.57,20.12,Top,270
TPIC3,83.57,6.78,Top,270
U$7,36.58,54.83,Top,270
U1,64.64,8,Top,0
VREG,66.93,45.09,Top,180
